annotations_with_contradiction,average_time_pair,contradiction_annotation_ratio,contradiction_poss_contradiction_ratio,n_annotations,n_contradictions,n_possible_contradictions,n_workers,n_workers_contradicting,pair,ratio_workers_contradicting,workers_contradicting,workers_not_contradicting
,61.508050000000004,0.0,0.0,100,0,150,10,0,lay_eggs-permit,0.0,,5b898d8abca3400001fa7c7b 5b9e10d4f074140001051011 5bace93b5cd4520001dc04a5 5c6158304fde3d0001474c20 5c6400cbcb937d00012d8866 5c93bd73642b0c00172314eb 5d0f8633c8ca0c00155a49c2 5d67fe2073cd1d001a611229 5d6c847ba90a23001c46f8b2 5de631043cf27959fe70269c
,111.57864000000002,0.0,0.0,100,0,120,10,0,black-ring,0.0,,5d2e5d1c649703001a9c920d 5d50fbe64e3713001a005a19 5ddc622ced7ea4bb98035efe 5de90af803356502f3be9818 5e39e5d2c8aeb02094ceeefd 5e83b90c6ed65a0e95816252 5ea1ab6697b8d6074542f4a3 5ea6d2afae702d06452f2ea5 5ea858b22dc090093dfb8c74 5ea931b9af55e2000cf0bbcc
,93.39803,0.0,0.0,100,0,120,10,0,dangerous-menthol,0.0,,56ae9348322d76000c990b51 5bb202b18aba5700017f36f6 5c41f300b96aae0001e75848 5c547ab2fd88bb0001868aec 5cae54fbe5b99b0015a57a33 5d228245d741d4001aa43eef 5d6c847ba90a23001c46f8b2 5e71e26df2bff10008cc9797 5e8dba5709881f03f8d59c28 5ea7e1911595cc000972e78c
,93.39803,0.0,0.0,100,0,120,10,0,wheels-cruiser,0.0,,56ae9348322d76000c990b51 5bb202b18aba5700017f36f6 5c41f300b96aae0001e75848 5c547ab2fd88bb0001868aec 5cae54fbe5b99b0015a57a33 5d228245d741d4001aa43eef 5d6c847ba90a23001c46f8b2 5e71e26df2bff10008cc9797 5e8dba5709881f03f8d59c28 5ea7e1911595cc000972e78c
,233.49507499999999,0.0,0.0,40,0,0,10,0,black-alligator,0.0,,56ae9348322d76000c990b51 5bb202b18aba5700017f36f6 5c41f300b96aae0001e75848 5c547ab2fd88bb0001868aec 5cae54fbe5b99b0015a57a33 5d228245d741d4001aa43eef 5d6c847ba90a23001c46f8b2 5e71e26df2bff10008cc9797 5e8dba5709881f03f8d59c28 5ea7e1911595cc000972e78c
,93.39803,0.0,0.0,100,0,120,10,0,sweet-dewberry,0.0,,56ae9348322d76000c990b51 5bb202b18aba5700017f36f6 5c41f300b96aae0001e75848 5c547ab2fd88bb0001868aec 5cae54fbe5b99b0015a57a33 5d228245d741d4001aa43eef 5d6c847ba90a23001c46f8b2 5e71e26df2bff10008cc9797 5e8dba5709881f03f8d59c28 5ea7e1911595cc000972e78c
,93.39803,0.0,0.0,100,0,120,10,0,hot-noodle,0.0,,56ae9348322d76000c990b51 5bb202b18aba5700017f36f6 5c41f300b96aae0001e75848 5c547ab2fd88bb0001868aec 5cae54fbe5b99b0015a57a33 5d228245d741d4001aa43eef 5d6c847ba90a23001c46f8b2 5e71e26df2bff10008cc9797 5e8dba5709881f03f8d59c28 5ea7e1911595cc000972e78c
,93.39803,0.0,0.0,100,0,150,10,0,fly-cart,0.0,,56ae9348322d76000c990b51 5bb202b18aba5700017f36f6 5c41f300b96aae0001e75848 5c547ab2fd88bb0001868aec 5cae54fbe5b99b0015a57a33 5d228245d741d4001aa43eef 5d6c847ba90a23001c46f8b2 5e71e26df2bff10008cc9797 5e8dba5709881f03f8d59c28 5ea7e1911595cc000972e78c
,233.49507499999999,0.0,0.0,40,0,0,10,0,yellow-barley,0.0,,56ae9348322d76000c990b51 5bb202b18aba5700017f36f6 5c41f300b96aae0001e75848 5c547ab2fd88bb0001868aec 5cae54fbe5b99b0015a57a33 5d228245d741d4001aa43eef 5d6c847ba90a23001c46f8b2 5e71e26df2bff10008cc9797 5e8dba5709881f03f8d59c28 5ea7e1911595cc000972e78c
,93.39803,0.0,0.0,100,0,120,10,0,made_of_wood-holster,0.0,,56ae9348322d76000c990b51 5bb202b18aba5700017f36f6 5c41f300b96aae0001e75848 5c547ab2fd88bb0001868aec 5cae54fbe5b99b0015a57a33 5d228245d741d4001aa43eef 5d6c847ba90a23001c46f8b2 5e71e26df2bff10008cc9797 5e8dba5709881f03f8d59c28 5ea7e1911595cc000972e78c
