,behav.,filtering,filtering_unit,n_stdv,aggregation,relations-f1,relations-p,relations-r,alpha
74,disagree,contradictions,pair,0.5,majority_vote,0.69,0.69,0.71,0.19
70,disagree,-,-,-,uas-0.8,0.69,0.82,0.76,0.21
71,disagree,-,-,-,uas-0.85,0.69,0.82,0.76,0.21
72,disagree,-,-,-,uas-0.9,0.69,0.82,0.76,0.21
69,disagree,-,-,-,uas-0.75,0.67,0.68,0.74,0.21
113,disagree,ct_wqs,total,1,top_vote,0.64,0.79,0.62,0.21
117,disagree,ct_wqs,total,1.5,top_vote,0.64,0.79,0.62,0.21
111,disagree,contradictions,total,1,top_vote,0.64,0.79,0.62,0.23
115,disagree,contradictions,total,1.5,top_vote,0.64,0.79,0.62,0.21
109,disagree,ct_wqs,total,0.5,top_vote,0.64,0.79,0.62,0.21
121,disagree,ct_wqs,total,2,top_vote,0.64,0.79,0.62,0.21
119,disagree,contradictions,total,2,top_vote,0.64,0.79,0.62,0.21
107,disagree,contradictions,total,0.5,top_vote,0.64,0.79,0.62,0.22
85,disagree,ct_wqs,pair,1.5,top_vote,0.64,0.79,0.62,0.21
105,disagree,ct_wqs,batch,2,top_vote,0.64,0.79,0.62,0.21
89,disagree,ct_wqs,pair,2,top_vote,0.64,0.79,0.62,0.21
63,disagree,-,-,-,top_vote,0.64,0.79,0.62,0.21
77,disagree,ct_wqs,pair,0.5,top_vote,0.64,0.79,0.62,0.21
79,disagree,contradictions,pair,1,top_vote,0.64,0.79,0.62,0.18
81,disagree,ct_wqs,pair,1,top_vote,0.64,0.79,0.62,0.21
83,disagree,contradictions,pair,1.5,top_vote,0.64,0.79,0.62,0.19
103,disagree,contradictions,batch,2,top_vote,0.64,0.79,0.62,0.2
87,disagree,contradictions,pair,2,top_vote,0.64,0.79,0.62,0.19
93,disagree,ct_wqs,batch,0.5,top_vote,0.64,0.79,0.62,0.21
97,disagree,ct_wqs,batch,1,top_vote,0.64,0.79,0.62,0.21
99,disagree,contradictions,batch,1.5,top_vote,0.64,0.79,0.62,0.2
101,disagree,ct_wqs,batch,1.5,top_vote,0.64,0.79,0.62,0.21
73,disagree,-,-,-,uas-1,0.62,0.54,0.74,0.21
75,disagree,contradictions,pair,0.5,top_vote,0.61,0.78,0.59,0.19
123,disagree,exclude_contradictory_annotations,-,-,top_vote,0.61,0.78,0.59,0.31
91,disagree,contradictions,batch,0.5,top_vote,0.54,0.76,0.53,0.21
95,disagree,contradictions,batch,1,top_vote,0.54,0.76,0.53,0.2
