concept,manual_coarse_grained,lemma,wiki_frequency,n_wn_senses,min_wn_sim_wup,poly_type,mipvu_met,wn_abs_conc
sock,-,sock,2279,3,0.125,homonyms_also_same_pos,non-met,abs-conc
towel,-,towel,2204,2,None,homonyms_only_different_pos,oov,conc
loincloths,-,loincloth,122,1,1.0,mon,non-met,conc
necklines,-,neckline,144,1,1.0,mon,non-met,conc
coat,-,coat,41895,6,0.2222222222222222,homonyms_only_different_pos,met non-met,conc
neckline,-,neckline,351,1,1.0,mon,non-met,conc
sealskin,-,sealskin,124,2,0.21052631578947367,mon,oov,abs-conc
necktie,-,necktie,562,1,1.0,mon,oov,conc
bag,-,bag,21663,14,0.11764705882352941,homonyms_only_different_pos,met non-met,abs-conc
handkerchief,-,handkerchief,1427,1,1.0,poly,non-met,conc
hat,-,hat,38867,4,0.10526315789473684,poly,met non-met,abs-conc
undershirt,-,undershirt,171,1,1.0,mon,oov,conc
cummerbund,-,cummerbund,113,1,1.0,mon,oov,conc
costume,-,costume,24637,6,0.2,poly,non-met,conc
kimono,-,kimono,1134,1,1.0,mon,oov,conc
grosgrain,-,grosgrain,103,1,1.0,oov,oov,conc
waistband,-,waistband,354,1,1.0,mon,oov,conc
bags,-,bag,12550,14,0.11764705882352941,homonyms_only_different_pos,met non-met,abs-conc
pullover,-,pullover,225,1,1.0,mon,oov,conc
waist,-,waist,7415,2,0.3333333333333333,poly,non-met,conc
robes,-,robe,4294,4,0.2222222222222222,homonyms_only_different_pos,non-met,conc
panties,-,pantie,861,1,1.0,oov,oov,conc
tailcoat,-,tailcoat,149,1,1.0,mon,oov,conc
waistcoats,-,waistcoat,273,1,1.0,mon,oov,conc
lapels,-,lapel,421,1,1.0,mon,oov,conc
surcoat,-,surcoat,108,2,0.8,mon,oov,conc
jackets,-,jacket,9093,7,0.21052631578947367,poly,non-met,abs-conc
blouses,-,blouse,588,1,1.0,poly,non-met,conc
gowns,-,gown,2321,6,0.11764705882352941,poly,non-met,abs-conc
topcoat,-,topcoat,116,1,1.0,poly,non-met,conc
loincloth,-,loincloth,434,1,1.0,mon,non-met,conc
scarves,-,scarf,1027,5,0.2,mon,oov,conc
sunglasses,-,sunglass,2543,1,1.0,oov,non-met,conc
leather,-,leather,24509,2,None,homonyms_only_different_pos,non-met,abs
sandals,-,sandal,1657,1,1.0,mon,oov,conc
mittens,-,mitten,332,1,1.0,poly,oov,conc
stockings,-,stocking,3531,9,0.1111111111111111,poly,non-met,abs-conc
wig,-,wig,3556,2,0.10526315789473684,mon,oov,abs-conc
hair,-,hair,67185,6,0.14285714285714285,poly,non-met,abs-conc
sweaters,-,sweater,1025,2,0.47058823529411764,poly,non-met,conc
sporran,-,sporran,123,1,1.0,mon,oov,conc
attire,-,attire,5450,2,None,homonyms_only_different_pos,oov,conc
cloak,-,cloak,4920,5,0.25,homonyms_only_different_pos,non-met,conc
garment,-,garment,7022,2,None,mon,non-met,conc
undergarments,-,undergarment,547,1,1.0,mon,oov,conc
tights,-,tight,1030,16,None,homonyms_only_different_pos,met non-met,-
leggings,-,legging,613,1,1.0,oov,oov,conc
skirt,-,skirt,5783,8,0.2,homonyms_only_different_pos,non-met,conc
sleeves,-,sleeve,4964,2,0.5882352941176471,poly,non-met,conc
hats,-,hat,8529,4,0.10526315789473684,poly,met non-met,abs-conc
tunic,-,tunic,2116,2,0.2,poly,non-met,conc
cloth,-,cloth,19826,1,1.0,poly,non-met,conc
blouse,-,blouse,1438,1,1.0,poly,non-met,conc
shawl,-,shawl,1198,1,1.0,mon,oov,conc
overcoat,-,overcoat,929,2,0.631578947368421,mon,oov,conc
shirts,-,shirt,13332,2,None,poly,non-met,conc
robe,-,robe,4471,4,0.2222222222222222,homonyms_only_different_pos,non-met,conc
slippers,-,slipper,1301,2,0.5,mon,oov,conc
gown,-,gown,4847,6,0.11764705882352941,poly,non-met,abs-conc
waistcoat,-,waistcoat,743,1,1.0,mon,oov,conc
underwear,-,underwear,3582,1,1.0,mon,oov,conc
dresses,-,dress,7516,21,0.16666666666666666,homonyms_only_different_pos,non-met,conc
garments,-,garment,5837,2,None,mon,non-met,conc
scarf,-,scarf,2600,5,0.2,mon,oov,conc
boots,-,boot,14607,9,0.08695652173913043,homonyms_also_same_pos,met non-met,abs-conc
gloves,-,glove,8152,3,0.5263157894736842,poly,non-met,conc
socks,-,sock,5615,3,0.125,homonyms_also_same_pos,non-met,abs-conc
dress,-,dress,39768,21,0.16666666666666666,homonyms_only_different_pos,non-met,conc
clothing,-,clothing,47373,4,0.2,mon,non-met,conc
shirt,-,shirt,23731,2,None,poly,non-met,conc
shoes,-,shoe,21972,5,0.5263157894736842,homonyms_only_different_pos,non-met,conc
sweater,-,sweater,1831,2,0.47058823529411764,poly,non-met,conc
clothes,-,clothe,28650,3,0.2,poly,met,-
pants,-,pant,9328,5,0.11764705882352941,homonyms_also_same_pos,non-met,abs-conc
trousers,-,trouser,5947,2,0.9,mon,oov,conc
jacket,,jacket,12927,7,0.21052631578947367,poly,non-met,abs-conc
people,2,people,1124171,6,0.2222222222222222,homonyms_only_different_pos,non-met,abs
space,2,space,322609,10,0.125,homonyms_only_different_pos,met non-met,abs-conc
toes,3,toe,5979,9,0.18181818181818182,homonyms_only_different_pos,non-met,conc
